tx_id,user_id,transaction_time,amount,type
TX_0,USER_125,2026-05-22 19:16:00,-47.32,SEPA
TX_1,USER_130,2026-05-07 12:13:00,24.95,Digital Euro
TX_2,USER_102,2026-05-01 22:37:00,84.04,SEPA
TX_3,USER_135,2026-05-16 01:32:00,-82.7,Digital Euro
TX_4,USER_124,2026-05-16 03:59:00,147.23,SEPA
TX_5,USER_150,2026-05-04 20:34:00,50.23,SEPA
TX_6,USER_135,2026-05-11 21:43:00,162.22,SEPA
TX_7,USER_105,2026-05-25 11:17:00,24.47,Card
TX_8,USER_130,2026-05-20 11:27:00,-94.65,Digital Euro
TX_9,USER_105,2026-05-02 10:54:00,33.51,SEPA
TX_10,USER_132,2026-05-12 05:46:00,168.55,SEPA
TX_11,USER_142,2026-05-17 19:49:00,-109.66,Card
TX_12,USER_134,2026-05-16 05:38:00,44.62,SEPA
TX_13,USER_112,2026-05-08 11:17:00,137.7,Digital Euro
TX_14,USER_136,2026-05-26 10:05:00,-97.69,Digital Euro
TX_15,USER_125,2026-05-25 18:57:00,-131.02,Digital Euro
TX_16,USER_145,2026-05-16 21:01:00,-134.44,Digital Euro
TX_17,USER_132,2026-05-06 11:54:00,98.41,Card
TX_18,USER_113,2026-05-08 04:57:00,83.73,Card
TX_19,USER_141,2026-05-23 15:17:00,174.17,Digital Euro
TX_20,USER_115,2026-05-25 07:47:00,57.86,Digital Euro
TX_21,USER_106,2026-05-06 15:03:00,-51.65,SEPA
TX_22,USER_144,2026-05-20 19:31:00,124.83,Digital Euro
TX_23,USER_111,2026-05-18 10:59:00,-94.33,Card
TX_24,USER_103,2026-05-15 15:17:00,-31.46,Digital Euro
TX_25,USER_124,2026-05-22 08:28:00,49.62,Digital Euro
TX_26,USER_148,2026-05-02 12:25:00,71.51,SEPA
TX_27,USER_128,2026-05-02 20:05:00,119.96,Digital Euro
TX_28,USER_114,2026-05-24 15:01:00,-132.85,SEPA
TX_29,USER_144,2026-05-12 15:20:00,-40.4,SEPA
TX_30,USER_105,2026-05-17 03:45:00,-22.04,Digital Euro
TX_31,USER_104,2026-05-24 09:58:00,-147.74,Digital Euro
TX_32,USER_117,2026-05-07 13:40:00,193.26,Card
TX_33,USER_135,2026-05-25 15:57:00,197.46,Card
TX_34,USER_114,2026-05-13 20:23:00,47.69,SEPA
TX_35,USER_122,2026-05-20 19:47:00,58.71,Digital Euro
TX_36,USER_134,2026-05-11 19:03:00,-49.34,Digital Euro
TX_37,USER_128,2026-05-12 16:11:00,73.55,Digital Euro
TX_38,USER_139,2026-05-14 21:07:00,140.52,Card
TX_39,USER_143,2026-05-27 21:38:00,-144.38,SEPA
TX_40,USER_108,2026-05-08 07:32:00,104.42,Card
TX_41,USER_102,2026-05-28 01:47:00,-57.2,Digital Euro
TX_42,USER_143,2026-05-19 18:50:00,183.04,SEPA
TX_43,USER_131,2026-05-09 00:22:00,-140.46,Card
TX_44,USER_149,2026-05-01 01:21:00,141.99,Digital Euro
TX_45,USER_142,2026-05-12 14:09:00,-81.55,Card
TX_46,USER_127,2026-05-03 17:55:00,-43.43,Card
TX_47,USER_147,2026-05-06 00:22:00,91.67,Card
TX_48,USER_109,2026-05-22 23:37:00,154.13,Digital Euro
TX_49,USER_109,2026-05-20 22:43:00,171.46,Digital Euro
TX_50,USER_116,2026-05-04 09:22:00,43.09,SEPA
TX_51,USER_100,2026-05-12 08:16:00,-110.2,Card
TX_52,USER_124,2026-05-08 13:50:00,-35.31,Card
TX_53,USER_125,2026-05-04 20:59:00,111.92,Card
TX_54,USER_141,2026-05-08 16:09:00,18.97,Digital Euro
TX_55,USER_123,2026-05-11 08:01:00,-26.13,Card
TX_56,USER_148,2026-05-23 19:24:00,120.71,SEPA
TX_57,USER_114,2026-05-15 14:50:00,-74.88,Card
TX_58,USER_103,2026-05-15 20:24:00,3.15,Card
TX_59,USER_122,2026-05-04 04:37:00,145.94,Card
TX_60,USER_102,2026-05-01 16:00:00,186.2,Card
TX_61,USER_108,2026-05-08 01:59:00,-73.18,SEPA
TX_62,USER_136,2026-05-24 19:04:00,-27.33,Card
TX_63,USER_114,2026-05-14 09:19:00,-96.59,Card
TX_64,USER_116,2026-05-03 13:13:00,84.58,Card
TX_65,USER_134,2026-05-28 08:22:00,9.13,Digital Euro
TX_66,USER_139,2026-05-05 03:58:00,166.79,Digital Euro
TX_67,USER_103,2026-05-13 06:41:00,54.61,Digital Euro
TX_68,USER_143,2026-05-05 02:26:00,5.39,Digital Euro
TX_69,USER_150,2026-05-05 20:32:00,46.65,Digital Euro
TX_70,USER_126,2026-05-01 19:49:00,50.29,Digital Euro
TX_71,USER_104,2026-05-20 23:31:00,18.45,SEPA
TX_72,USER_135,2026-05-12 13:15:00,57.01,Card
